virus	Sample_id	Background	Viral load	mean_depth	median_depth	min_coverage	max	LQ	UQ	dataset
adenovirusF	L	p2	100000	319.57643070088267	309	2	808	238	378	nodedup
herpesvirus5	L	p2	100000	416.1665552779114	400	0	2013	305	522	nodedup
orthopneumovirusA	L	p2	100000	1110.5909210353436	900.5	0	3256	475	1663.75	nodedup
orthoreovirus3	L	p2	100000	2229.74450572762	2236	0	5306	1661	2818	nodedup
InfluenzaB	M	p2	1000	192.22011079166958	188	0	476	127	252	nodedup
Zikavirus	M	p2	1000	127.13747105141269	135	0	329	49	190	nodedup
adenovirusF	M	p2	1000	64.57456012158765	64	2	144	52	76	nodedup
herpesvirus5	M	p2	1000	67.7154790505887	69	0	273	53	84	nodedup
orthopneumovirusA	M	p2	1000	166.3489685980817	122	0	678	57	261.75	nodedup
orthoreovirus3	M	p2	1000	518.7490453966907	521	0	870	437	638	nodedup
InfluenzaB	N	p2	100000	9394.855409859056	9628	37	20469	6217	12228	nodedup
Zikavirus	N	p2	100000	5607.095947446336	5818.5	0	13681	1604.75	9309	nodedup
adenovirusF	N	p2	100000	3626.024229847431	3631	90	6891	2941	4239	nodedup
herpesvirus5	N	p2	100000	3764.1889506430275	3840	0	12175	3118	4709	nodedup
orthopneumovirusA	N	p2	100000	7680.909735908554	5951.5	3	22183	3429	11397.25	nodedup
orthoreovirus3	N	p2	100000	21162.53932965634	22250.5	30	33138	18469.25	25634	nodedup
InfluenzaB	O	p8	100	13.173900848467849	12	0	43	8	17	nodedup
Zikavirus	O	p8	100	10.081630749137046	10	0	30	2	16	nodedup
adenovirusF	O	p8	100	3.5941719763839366	3	0	20	2	5	nodedup
herpesvirus5	O	p8	100	4.7856990258075545	4	0	26	2	7	nodedup
orthopneumovirusA	O	p8	100	12.166206805938772	9	0	45	4	19	nodedup
orthoreovirus3	O	p8	100	21.658803563852356	20	0	58	13	30	nodedup
InfluenzaB	P	p2	1000	243.26071103008204	235	0	662	171	313	nodedup
Zikavirus	P	p2	1000	144.51517675365537	150	0	357	57	222	nodedup
adenovirusF	P	p2	1000	85.65981761851873	83	4	170	72	97	nodedup
herpesvirus5	P	p2	1000	77.60046573802875	77	0	286	59	97	nodedup
orthopneumovirusA	P	p2	1000	212.5616213375378	167.5	0	875	80	319	nodedup
orthoreovirus3	P	p2	1000	672.3219346627068	698	0	1060	594	796	nodedup
