virus	Sample_id	Background	Viral load	mean_depth	median_depth	min_coverage	max	LQ	UQ	dataset
herpesvirus5	N	p2	100000	3683.0088320922086	3795	0	12074	3057	4652	dedup
orthopneumovirusA	N	p2	100000	7611.111680462488	5846.5	3	22001	3414	11269.75	dedup
orthoreovirus3	N	p2	100000	21042.237844717863	22167	28	32934	18400	25527	dedup
InfluenzaB	O	p8	100	13.102797840263657	12	0	43	8	17	dedup
Zikavirus	O	p8	100	2.9730693440930844	0	0	22	0	5	dedup
adenovirusF	O	p8	100	3.5818086163558776	3	0	20	2	5	dedup
herpesvirus5	O	p8	100	4.648818061543863	4	0	26	2	7	dedup
orthopneumovirusA	O	p8	100	12.01412429378531	9	0	44	4	19	dedup
orthoreovirus3	O	p8	100	21.394569367840475	20	0	56	12	30	dedup
InfluenzaB	P	p2	1000	239.75562723511675	233	0	657	169	308	dedup
Zikavirus	P	p2	1000	34.63964464186563	6	0	224	0	57	dedup
adenovirusF	P	p2	1000	84.82097971590576	82	1	170	71	96	dedup
herpesvirus5	P	p2	1000	74.56602556434662	75	0	284	57	95	dedup
orthopneumovirusA	P	p2	1000	208.16791486007097	162	0	857	78	314	dedup
orthoreovirus3	P	p2	1000	664.5699618158676	691	0	1043	587	790	dedup
