virus	length	matched	unmatched	Sample_id	Background	Viral load	mapper	type
Human_adenovirus_40	34392	138288	0	L	p2	100000	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	2079677	0	L	p2	100000	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	328457	0	L	p2	100000	bowtie2	nodedup_TE
Influenza_B_virus	14510	374370	0	L	p2	100000	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	660951	0	L	p2	100000	bowtie2	nodedup_TE
Zika_virus	10952	233321	0	L	p2	100000	bowtie2	nodedup_TE
Human_adenovirus_40	34392	54819	0	M	p2	1000	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	842928	0	M	p2	1000	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	115496	0	M	p2	1000	bowtie2	nodedup_TE
Influenza_B_virus	14510	129987	0	M	p2	1000	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	356192	0	M	p2	1000	bowtie2	nodedup_TE
Zika_virus	10952	114324	0	M	p2	1000	bowtie2	nodedup_TE
Human_adenovirus_40	34392	2700935	0	N	p2	100000	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	38951494	0	N	p2	100000	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	5228543	0	N	p2	100000	bowtie2	nodedup_TE
Influenza_B_virus	14510	6309465	0	N	p2	100000	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	17302934	0	N	p2	100000	bowtie2	nodedup_TE
Zika_virus	10952	5063112	0	N	p2	100000	bowtie2	nodedup_TE
Human_adenovirus_40	34392	1193	0	O	p8	100	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	15149	0	O	p8	100	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	2086	0	O	p8	100	bowtie2	nodedup_TE
Influenza_B_virus	14510	2132	0	O	p8	100	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	4506	0	O	p8	100	bowtie2	nodedup_TE
Zika_virus	10952	1927	0	O	p8	100	bowtie2	nodedup_TE
Human_adenovirus_40	34392	189816	0	P	p2	1000	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	2849106	0	P	p2	1000	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	414001	0	P	p2	1000	bowtie2	nodedup_TE
Influenza_B_virus	14510	472583	0	P	p2	1000	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	1241265	0	P	p2	1000	bowtie2	nodedup_TE
Zika_virus	10952	369203	0	P	p2	1000	bowtie2	nodedup_TE
